nohup: ignoring input
Training mode
Episode 1 | Step 425 | Step Reward: -0.0
Episode 1 | Step 426 | Step Reward: -0.0
Episode 1 | Step 427 | Step Reward: -0.0
Episode 1 | Step 428 | Step Reward: -0.0
Episode 1 | Step 429 | Step Reward: -0.0
Episode 1 | Step 430 | Step Reward: -0.0
Episode 1 | Step 431 | Step Reward: -0.0
Episode 1 | Step 432 | Step Reward: -0.0
Episode 1 | Step 433 | Step Reward: -0.0
Episode 1 | Step 434 | Step Reward: -0.0
Episode 1 | Step 435 | Step Reward: -0.0
Episode 1 | Step 436 | Step Reward: -0.0
Episode 1 | Step 437 | Step Reward: -0.0
Episode 1 | Step 438 | Step Reward: -0.0
Episode 1 | Step 439 | Step Reward: -0.0
Episode 1 | Step 440 | Step Reward: -0.0
Episode 1 | Step 441 | Step Reward: -0.0
Episode 1 | Step 442 | Step Reward: -0.0
Episode 1 | Step 443 | Step Reward: -0.0
Episode 1 | Step 444 | Step Reward: -0.0
Episode 1 | Step 445 | Step Reward: -0.0
Episode 1 | Step 446 | Step Reward: -0.0
Episode 1 | Step 447 | Step Reward: -0.0
Episode 1 | Step 448 | Step Reward: -0.0
Episode 1 | Step 449 | Step Reward: -0.0
Episode 1 | Step 450 | Step Reward: -0.0
Episode 1 | Step 451 | Step Reward: -0.0
Episode 1 | Step 452 | Step Reward: -0.0
Episode 1 | Step 453 | Step Reward: -0.0
Episode 1 | Step 454 | Step Reward: -0.0
Episode 1 | Step 455 | Step Reward: -0.0
Episode 1 | Step 456 | Step Reward: -0.0
Episode 1 | Step 457 | Step Reward: -0.0
Episode 1 | Step 458 | Step Reward: -0.0
Episode 1 | Step 459 | Step Reward: -0.0
Episode 1 | Step 460 | Step Reward: -0.0
Episode 1 | Step 461 | Step Reward: -0.0
Episode 1 | Step 462 | Step Reward: -0.0
Episode 1 | Step 463 | Step Reward: -0.0
Episode 1 | Step 464 | Step Reward: -0.0
Episode 1 | Step 465 | Step Reward: -0.0
